,run,full_mae,test_mae,Energy_predicted_fullSet,Energy_target_fullSet,Energy_predicted_testSet,Energy_target_testSet
0,1,6.6259737,6.6644287,[-461.39832 -190.88147 -347.95093 ...  200.30078 -165.4679   199.07654],[-472. -188. -356. ...  203. -173.  198.],"[-1307.1069   -968.4659   -989.2474  ...  -165.90564   -54.60974
    19.30249]",[-1314. -1002. -1000. ...  -173.   -51.    28.]
1,2,6.4931693,6.229741,[-469.83008 -181.66602 -355.1101  ...  209.5393  -171.5409   181.80273],[-472. -188. -356. ...  203. -173.  198.],"[-1449.0383   -1341.0896   -1067.2671   ...   -24.629395   202.87256
   191.78552 ]",[-1469. -1319. -1032. ...   -21.   203.   198.]
2,3,5.9037714,6.363958,[-475.32642 -189.45789 -359.50024 ...  197.42664 -176.04675  210.39539],[-472. -188. -356. ...  203. -173.  198.],"[-1059.5605   -988.2326  -1003.41785 ...  -263.80835  -164.5199
  -163.81567]",[-1080. -1007. -1002. ...  -264.  -173.  -173.]
3,4,5.867726,7.2279243,[-479.86816 -180.78125 -355.7013  ...  208.29187 -171.61462  188.47717],[-472. -188. -356. ...  203. -173.  198.],"[-1543.301    -1105.8569   -1040.7238   ...  -175.86572     18.435547
   188.51636 ]",[-1469. -1115. -1050. ...  -173.    28.   203.]
4,5,5.8527923,5.9600453,[-459.01147 -201.57727 -357.95557 ...  186.51025 -175.19214  186.94116],[-472. -188. -356. ...  203. -173.  198.],[-977.0853  -871.02045 -755.69226 ... -272.2555  -358.7561   191.81628],[-974.99994 -876.      -761.      ... -279.      -354.       198.     ]
5,6,6.2862554,6.501605,[-468.30444 -187.15747 -351.50684 ...  185.34387 -164.26196  184.7157 ],[-472. -188. -356. ...  203. -173.  198.],"[-1018.46686 -1006.34503  -968.90564 ...   -19.60437  -174.51538
  -316.23828]",[-1050. -1007.  -977. ...   -21.  -173.  -320.]
6,7,6.580855,6.498472,[-472.38354 -201.98279 -358.59875 ...  192.79163 -194.91394  205.4823 ],[-472. -188. -356. ...  203. -173.  198.],"[-1156.957    -1012.4932    -996.94336  ...  -148.67249   -271.50732
    26.217041]",[-1159. -1027.  -998. ...  -148.  -264.    28.]
7,8,6.3328376,6.651609,[-480.04407 -192.72583 -356.2118  ...  202.79797 -178.84155  186.77576],[-472. -188. -356. ...  203. -173.  198.],"[-1140.6626   -1043.0356   -1046.8154   ...  -177.01721    -39.81018
   -40.706055]",[-1159. -1027. -1007. ...  -173.   -45.   -45.]
8,9,6.2563243,6.3183928,[-477.0703  -184.29968 -360.9607  ...  212.04065 -178.36548  221.3446 ],[-472. -188. -356. ...  203. -173.  198.],"[-1463.5024   -1233.7458   -1024.1516   ...  -175.20874     21.648438
  -177.77661 ]",[-1469. -1225. -1027. ...  -173.    28.  -173.]
9,10,6.0437427,6.192466,[-473.45996 -189.4165  -355.79333 ...  195.7284  -176.63037  195.08582],[-472. -188. -356. ...  203. -173.  198.],"[-1493.3434  -1221.6282  -1006.97156 ...   201.24597  -173.82251
   211.64124]",[-1469. -1225. -1002. ...   203.  -173.   198.]
