,run,full_mae,test_mae,Energy_predicted_fullSet,Energy_target_fullSet,Energy_predicted_testSet,Energy_target_testSet
0,1,5.1050277,4.8604317,[-471.74194 -192.27405 -355.69104 ...  199.28918 -173.75916  189.70361],[-472. -188. -356. ...  203. -173.  198.],"[-1296.8455    -992.8529    -985.5863   ...  -181.23096    -58.290283
    27.609009]",[-1314. -1002. -1000. ...  -173.   -51.    28.]
1,2,5.690238,6.115839,[-471.1289  -192.98767 -355.29102 ...  179.43091 -155.13586  190.82947],[-472. -188. -356. ...  203. -173.  198.],"[-1465.0795   -1317.8398   -1063.0371   ...   -25.276245   176.04749
   195.29565 ]",[-1469. -1319. -1032. ...   -21.   203.   198.]
2,3,5.58945,6.039161,[-473.08142 -188.11902 -354.43945 ...  191.66724 -174.56226  176.203  ],[-472. -188. -356. ...  203. -173.  198.],"[-1059.6353  -1026.2329  -1020.2699  ...  -264.91675  -169.76196
  -165.81873]",[-1080. -1007. -1002. ...  -264.  -173.  -173.]
3,4,5.207968,5.711795,[-471.29163 -200.48438 -357.9154  ...  211.35657 -165.08533  188.20862],[-472. -188. -356. ...  203. -173.  198.],"[-1495.0575   -1102.1531   -1048.3005   ...  -174.83777     19.651001
   201.47253 ]",[-1469. -1115. -1050. ...  -173.    28.   203.]
4,5,5.160162,5.397635,[-480.58972 -194.73962 -361.21667 ...  208.9867  -163.20093  203.25317],[-472. -188. -356. ...  203. -173.  198.],[-964.2434  -880.1359  -761.2837  ... -282.46423 -354.21777  188.16846],[-974.99994 -876.      -761.      ... -279.      -354.       198.     ]
5,6,5.5861425,5.90351,[-468.49878 -185.56213 -355.98132 ...  197.18591 -174.63489  192.16345],[-472. -188. -356. ...  203. -173.  198.],"[-1043.4326   -1001.76086   -990.62805  ...   -32.574463  -172.23999
  -311.5985  ]",[-1050. -1007.  -977. ...   -21.  -173.  -320.]
6,7,5.5556693,5.7263436,[-466.87305 -184.60754 -356.62305 ...  213.04529 -176.34009  203.79834],[-472. -188. -356. ...  203. -173.  198.],"[-1141.8479   -1022.83826   -995.2765   ...  -155.4596    -266.49548
    24.110474]",[-1159. -1027.  -998. ...  -148.  -264.    28.]
7,8,5.900315,5.946938,[-471.1687  -182.27051 -356.3396  ...  220.932   -174.35767  209.08594],[-472. -188. -356. ...  203. -173.  198.],"[-1172.5237   -1025.771    -1011.63184  ...  -174.33508    -59.928345
   -50.061768]",[-1159. -1027. -1007. ...  -173.   -45.   -45.]
8,9,5.733628,6.0296874,[-459.66516 -189.46594 -354.66162 ...  190.41675 -173.05725  202.62805],[-472. -188. -356. ...  203. -173.  198.],"[-1414.9058   -1213.6606   -1024.7158   ...  -170.8424      24.435425
  -174.42822 ]",[-1469. -1225. -1027. ...  -173.    28.  -173.]
9,10,5.4994903,5.651189,[-492.6233  -191.89734 -357.59644 ...  185.48682 -170.06396  199.50818],[-472. -188. -356. ...  203. -173.  198.],"[-1543.4403  -1226.9779  -1017.14404 ...   196.40625  -172.36084
   206.95496]",[-1469. -1225. -1002. ...   203.  -173.   198.]
