,run,full_mae,test_mae,Energy_predicted_fullSet,Energy_target_fullSet,Energy_predicted_testSet,Energy_target_testSet
0,1,5.0589123,5.0261664,[-463.6333  -190.64795 -354.36475 ...  199.98743 -164.95837  202.35596],[-472. -188. -356. ...  203. -173.  198.],"[-1293.2554   -990.53705  -998.8659  ...  -163.94409   -46.01599
    38.26001]",[-1314. -1002. -1000. ...  -173.   -51.    28.]
1,2,5.095335,5.218092,[-456.93713 -192.25232 -358.5902  ...  192.99023 -169.85303  187.09033],[-472. -188. -356. ...  203. -173.  198.],"[-1508.5653   -1308.8247   -1026.8423   ...   -22.455322   192.38354
   199.11768 ]",[-1469. -1319. -1032. ...   -21.   203.   198.]
2,3,5.2867255,6.048693,[-473.23132 -187.57507 -362.22192 ...  182.81775 -171.91016  179.4303 ],[-472. -188. -356. ...  203. -173.  198.],"[-1065.0911  -1013.77844  -998.0629  ...  -268.73157  -167.4679
  -167.29883]",[-1080. -1007. -1002. ...  -264.  -173.  -173.]
3,4,5.0343323,5.1859202,[-466.45886 -184.05603 -350.58582 ...  199.36841 -167.05371  183.2478 ],[-472. -188. -356. ...  203. -173.  198.],"[-1476.2124   -1107.8687   -1043.436    ...  -179.77356     28.500122
   178.60547 ]",[-1469. -1115. -1050. ...  -173.    28.   203.]
4,5,5.3351483,5.2714734,[-490.43372 -190.59521 -357.68872 ...  194.47217 -172.36548  184.44727],[-472. -188. -356. ...  203. -173.  198.],[-973.5672  -876.3209  -744.474   ... -279.6239  -356.2212   192.65393],[-974.99994 -876.      -761.      ... -279.      -354.       198.     ]
5,6,5.4121175,5.6673303,[-470.0194  -184.71326 -346.9707  ...  204.01855 -172.27856  183.13904],[-472. -188. -356. ...  203. -173.  198.],"[-1033.1677   -1020.7909    -976.81085  ...   -22.661377  -169.68787
  -319.7511  ]",[-1050. -1007.  -977. ...   -21.  -173.  -320.]
6,7,4.876133,4.988009,[-476.70642 -191.2384  -360.4607  ...  201.95068 -168.47144  211.47522],[-472. -188. -356. ...  203. -173.  198.],"[-1152.2654  -1030.6904  -1004.67426 ...  -149.125    -267.90833
    26.98059]",[-1159. -1027.  -998. ...  -148.  -264.    28.]
7,8,4.972202,4.8214116,[-469.72986 -192.52173 -363.125   ...  206.86035 -174.77441  208.34888],[-472. -188. -356. ...  203. -173.  198.],"[-1160.4973   -1014.8343    -992.841    ...  -176.66077    -52.551025
   -43.18213 ]",[-1159. -1027. -1007. ...  -173.   -45.   -45.]
8,9,5.1102014,5.2796807,[-470.47046 -185.26868 -354.17078 ...  207.0072  -164.12695  213.94666],[-472. -188. -356. ...  203. -173.  198.],"[-1441.1482   -1215.9438   -1014.6443   ...  -163.92883     35.170654
  -166.87573 ]",[-1469. -1225. -1027. ...  -173.    28.  -173.]
9,10,4.7364345,5.0683784,[-466.84375 -184.98938 -355.19897 ...  197.66895 -167.91321  200.65686],[-472. -188. -356. ...  203. -173.  198.],"[-1442.3254  -1214.659    -981.4195  ...   208.38977  -176.95374
   198.56226]",[-1469. -1225. -1002. ...   203.  -173.   198.]
