,run,full_mae,test_mae,Energy_predicted_fullSet,Energy_target_fullSet,Energy_predicted_testSet,Energy_target_testSet
0,1,6.462344,6.3352523,[-460.61328 -186.59802 -354.6797  ...  189.81714 -177.0415   182.69092],[-472. -188. -356. ...  203. -173.  198.],"[-1276.0886    -972.4814    -994.78894  ...  -184.22913    -64.467285
     9.436157]",[-1314. -1002. -1000. ...  -173.   -51.    28.]
1,2,6.09482,6.459487,[-460.73767 -187.97388 -351.8689  ...  200.21631 -159.04382  188.80334],[-472. -188. -356. ...  203. -173.  198.],"[-1474.8446   -1357.283    -1037.4392   ...   -25.944702   202.90991
   180.87097 ]",[-1469. -1319. -1032. ...   -21.   203.   198.]
2,3,6.0653906,6.4153056,[-469.3645  -192.64478 -354.78345 ...  212.57568 -173.60266  173.8833 ],[-472. -188. -356. ...  203. -173.  198.],"[-1069.6099   -990.51697 -1017.7016  ...  -260.625    -179.2804
  -178.59302]",[-1080. -1007. -1002. ...  -264.  -173.  -173.]
3,4,6.2458377,7.734157,[-484.73743 -187.02478 -346.65967 ...  206.02222 -176.5393   187.96228],[-472. -188. -356. ...  203. -173.  198.],"[-1399.9828  -1129.1584  -1050.8461  ...  -174.33508    22.20581
   203.29736]",[-1469. -1115. -1050. ...  -173.    28.   203.]
4,5,6.7902274,6.5503945,[-480.84924 -191.56091 -363.96606 ...  204.56653 -161.21326  200.14966],[-472. -188. -356. ...  203. -173.  198.],"[-1002.01355  -886.84296  -769.6915  ...  -281.219    -355.4049
   185.38684]",[-974.99994 -876.      -761.      ... -279.      -354.       198.     ]
5,6,5.9125385,6.009078,[-472.72925 -183.75366 -355.44238 ...  203.24304 -163.59473  193.03503],[-472. -188. -356. ...  203. -173.  198.],"[-1034.3713    -997.18964   -983.39575  ...   -34.813232  -178.95862
  -322.287   ]",[-1050. -1007.  -977. ...   -21.  -173.  -320.]
6,7,6.1863675,5.9793634,[-479.93433 -194.37    -359.56226 ...  214.35498 -179.93628  200.84595],[-472. -188. -356. ...  203. -173.  198.],"[-1168.791    -1045.323    -1009.1508   ...  -149.40906   -270.22205
    11.940186]",[-1159. -1027.  -998. ...  -148.  -264.    28.]
7,8,5.9679213,5.8747644,[-470.79492 -186.34436 -351.94348 ...  186.91992 -172.0398   192.83472],[-472. -188. -356. ...  203. -173.  198.],"[-1160.0112   -1026.084     -985.836    ...  -166.3612     -46.386353
   -46.816895]",[-1159. -1027. -1007. ...  -173.   -45.   -45.]
8,9,5.7935233,5.8435125,[-486.92114 -193.56152 -349.87158 ...  192.771   -168.91675  191.41077],[-472. -188. -356. ...  203. -173.  198.],"[-1385.2576   -1210.8569   -1024.6709   ...  -169.02441     23.248901
  -173.97864 ]",[-1469. -1225. -1027. ...  -173.    28.  -173.]
9,10,5.6409535,5.891016,[-464.50073 -193.76306 -362.5183  ...  194.07068 -174.39697  197.03857],[-472. -188. -356. ...  203. -173.  198.],"[-1508.2351  -1247.7136  -1016.43146 ...   211.01868  -173.4862
   204.28735]",[-1469. -1225. -1002. ...   203.  -173.   198.]
