,run,full_mae,test_mae,Energy_predicted_fullSet,Energy_target_fullSet,Energy_predicted_testSet,Energy_target_testSet
0,1,5.071817,5.504437,[-462.80615 -196.81726 -357.90112 ...  214.18848 -176.38293  203.2489 ],[-472. -188. -356. ...  203. -173.  198.],"[-1306.3923    -993.30164   -993.7065   ...  -173.36487    -55.545288
    27.749878]",[-1314. -1002. -1000. ...  -173.   -51.    28.]
1,2,5.1270533,5.425584,[-465.8745  -182.59326 -347.09216 ...  206.90259 -162.85547  190.93591],[-472. -188. -356. ...  203. -173.  198.],"[-1426.4496   -1277.541    -1024.2012   ...   -20.618652   209.52637
   203.0437  ]",[-1469. -1319. -1032. ...   -21.   203.   198.]
2,3,5.2290707,5.8156953,[-472.0857  -184.65808 -355.79578 ...  202.39258 -170.22449  203.54529],[-472. -188. -356. ...  203. -173.  198.],"[-1061.2201  -1020.9206  -1014.54016 ...  -263.52844  -170.72437
  -164.64551]",[-1080. -1007. -1002. ...  -264.  -173.  -173.]
3,4,5.10032,5.576407,[-475.96582 -192.08386 -360.50366 ...  201.82617 -177.87341  176.12402],[-472. -188. -356. ...  203. -173.  198.],"[-1437.8019   -1102.8151   -1048.1067   ...  -174.34888     21.805176
   202.88806 ]",[-1469. -1115. -1050. ...  -173.    28.   203.]
4,5,4.7454166,5.0034094,[-472.77393 -196.95996 -346.47217 ...  192.77307 -169.50024  190.03772],[-472. -188. -356. ...  203. -173.  198.],[-966.22955 -861.3803  -756.5635  ... -279.7025  -352.8578   186.41064],[-974.99994 -876.      -761.      ... -279.      -354.       198.     ]
5,6,4.8648987,5.1943493,[-468.29053 -192.93127 -355.1853  ...  186.60217 -164.96472  186.16699],[-472. -188. -356. ...  203. -173.  198.],"[-1051.9172    -994.43176   -996.3823   ...   -26.491943  -172.93091
  -323.04504 ]",[-1050. -1007.  -977. ...   -21.  -173.  -320.]
6,7,4.783796,5.181643,[-467.34253 -184.79639 -356.9231  ...  217.04675 -167.37158  215.93103],[-472. -188. -356. ...  203. -173.  198.],"[-1174.8767  -1027.5641  -1011.6122  ...  -148.00146  -262.25525
    37.79004]",[-1159. -1027.  -998. ...  -148.  -264.    28.]
7,8,4.77102,4.881018,[-459.37012 -193.32751 -355.89758 ...  215.82532 -176.94812  217.46216],[-472. -188. -356. ...  203. -173.  198.],"[-1164.8784   -1040.2137   -1007.3243   ...  -177.37842    -50.385986
   -47.32422 ]",[-1159. -1027. -1007. ...  -173.   -45.   -45.]
8,9,5.454233,5.674787,[-478.36194 -193.71362 -355.39294 ...  190.52332 -175.07483  203.60693],[-472. -188. -356. ...  203. -173.  198.],"[-1488.7731  -1237.9138  -1018.6203  ...  -176.7605     41.38806
  -177.56738]",[-1469. -1225. -1027. ...  -173.    28.  -173.]
9,10,4.9302387,5.276957,[-470.38867 -192.807   -354.95764 ...  194.44067 -170.39136  206.51086],[-472. -188. -356. ...  203. -173.  198.],"[-1566.7466  -1223.2655  -1002.93665 ...   204.88525  -174.50891
   193.19312]",[-1469. -1225. -1002. ...   203.  -173.   198.]
