,run,full_mae,test_mae,Energy_predicted_fullSet,Energy_target_fullSet,Energy_predicted_testSet,Energy_target_testSet
0,1,5.31604,5.508325,[-471.2423  -197.25708 -359.37012 ...  203.89978 -172.5188   213.0127 ],[-472. -188. -356. ...  203. -173.  198.],"[-1310.0874    -992.6248    -998.4936   ...  -166.94434    -48.7157
    26.973877]",[-1314. -1002. -1000. ...  -173.   -51.    28.]
1,2,5.622697,6.08112,[-465.09216 -186.32422 -356.3871  ...  214.14734 -163.01147  205.3789 ],[-472. -188. -356. ...  203. -173.  198.],"[-1415.165   -1292.0269  -1024.6025  ...   -13.27356   213.87659
   198.37439]",[-1469. -1319. -1032. ...   -21.   203.   198.]
2,3,5.671014,6.358944,[-479.25024 -190.10815 -357.82043 ...  197.54517 -170.10852  193.47363],[-472. -188. -356. ...  203. -173.  198.],"[-1069.4      -996.498   -1002.9559  ...  -266.0763   -167.8136
  -170.38403]",[-1080. -1007. -1002. ...  -264.  -173.  -173.]
3,4,5.406404,5.8183155,[-477.21033 -184.92688 -361.09058 ...  195.05542 -173.16016  189.81128],[-472. -188. -356. ...  203. -173.  198.],"[-1429.2439   -1128.5103   -1043.1001   ...  -166.22742     30.667236
   202.03442 ]",[-1469. -1115. -1050. ...  -173.    28.   203.]
4,5,5.2850738,5.2225475,[-471.83386 -194.17651 -366.583   ...  178.18799 -170.36609  186.9054 ],[-472. -188. -356. ...  203. -173.  198.],[-974.3688  -891.9013  -754.07776 ... -281.06262 -350.2008   177.42334],[-974.99994 -876.      -761.      ... -279.      -354.       198.     ]
5,6,5.1971827,5.5622582,[-463.8916  -187.26953 -361.1709  ...  192.8103  -164.77039  190.25269],[-472. -188. -356. ...  203. -173.  198.],"[-1027.5615    -974.4808    -992.7569   ...   -37.600952  -177.73865
  -314.58105 ]",[-1050. -1007.  -977. ...   -21.  -173.  -320.]
6,7,5.1244063,5.321448,[-473.85364 -198.58545 -361.30737 ...  212.31555 -167.86584  218.35266],[-472. -188. -356. ...  203. -173.  198.],"[-1144.3854  -1026.081    -997.8177  ...  -151.69275  -266.49036
    24.31836]",[-1159. -1027.  -998. ...  -148.  -264.    28.]
7,8,5.4652233,5.415953,[-467.92822 -184.33044 -355.9756  ...  216.60913 -170.52002  205.16711],[-472. -188. -356. ...  203. -173.  198.],"[-1171.1179   -1022.4974   -1020.2633   ...  -173.64294    -46.510498
   -38.136475]",[-1159. -1027. -1007. ...  -173.   -45.   -45.]
8,9,5.6861124,6.125466,[-472.92444 -186.48438 -356.35107 ...  173.40332 -177.3247   182.1643 ],[-472. -188. -356. ...  203. -173.  198.],"[-1474.1403   -1263.0745   -1022.1746   ...  -177.3092      30.902832
  -179.70068 ]",[-1469. -1225. -1027. ...  -173.    28.  -173.]
9,10,5.412976,5.5175176,[-456.43787 -189.56421 -354.26782 ...  184.27148 -171.14099  195.72388],[-472. -188. -356. ...  203. -173.  198.],"[-1539.8655  -1242.2659   -996.2326  ...   192.71289  -171.78589
   195.86853]",[-1469. -1225. -1002. ...   203.  -173.   198.]
