,run,full_mae,test_mae,Energy_predicted_fullSet,Energy_target_fullSet,Energy_predicted_testSet,Energy_target_testSet
0,1,5.0952096,5.1802945,[-462.05017 -193.38196 -351.11487 ...  192.31116 -173.07251  208.81006],[-472. -188. -356. ...  203. -173.  198.],"[-1308.7991   -1006.5467   -1006.06415  ...  -167.54053    -55.700317
    33.73633 ]",[-1314. -1002. -1000. ...  -173.   -51.    28.]
1,2,5.342557,5.6516576,[-452.3495  -194.73389 -355.8203  ...  230.69922 -168.70618  203.1471 ],[-472. -188. -356. ...  203. -173.  198.],"[-1486.8387   -1297.9672   -1045.5189   ...   -29.989624   213.46301
   197.78003 ]",[-1469. -1319. -1032. ...   -21.   203.   198.]
2,3,5.2017922,5.778442,[-473.91602 -194.61609 -356.36597 ...  205.73169 -171.75659  206.96594],[-472. -188. -356. ...  203. -173.  198.],"[-1050.6313  -1022.9074  -1005.68445 ...  -268.53552  -177.97363
  -173.29773]",[-1080. -1007. -1002. ...  -264.  -173.  -173.]
3,4,5.2912693,5.5221577,[-470.48682 -197.5575  -359.71655 ...  196.58984 -176.73059  185.16492],[-472. -188. -356. ...  203. -173.  198.],"[-1453.1993   -1092.426    -1029.8098   ...  -180.64734     31.699707
   201.5813  ]",[-1469. -1115. -1050. ...  -173.    28.   203.]
4,5,5.185569,5.111094,[-460.33484 -187.97693 -350.87732 ...  186.79016 -174.90247  185.7987 ],[-472. -188. -356. ...  203. -173.  198.],[-973.039   -888.37933 -759.2532  ... -278.0957  -350.09668  176.76953],[-974.99994 -876.      -761.      ... -279.      -354.       198.     ]
5,6,5.1759853,5.2207255,[-482.1737  -184.82068 -359.10754 ...  218.91626 -175.44275  198.82776],[-472. -188. -356. ...  203. -173.  198.],"[-1015.2989   -1001.9053    -982.63806  ...   -21.370361  -178.28809
  -319.687   ]",[-1050. -1007.  -977. ...   -21.  -173.  -320.]
6,7,5.3707557,5.7130995,[-462.54285 -190.05713 -357.83606 ...  209.52148 -166.57764  205.13965],[-472. -188. -356. ...  203. -173.  198.],"[-1158.5256   -1030.5513   -1003.0468   ...  -154.72852   -269.6267
    30.973022]",[-1159. -1027.  -998. ...  -148.  -264.    28.]
7,8,4.819355,4.669109,[-465.13306 -194.05237 -355.33044 ...  186.68372 -173.2091   192.76782],[-472. -188. -356. ...  203. -173.  198.],"[-1154.1409   -1032.7588   -1010.2145   ...  -180.05396    -46.878174
   -43.559204]",[-1159. -1027. -1007. ...  -173.   -45.   -45.]
8,9,4.809605,5.223166,[-467.36902 -192.24988 -351.265   ...  199.65173 -170.92737  199.94641],[-472. -188. -356. ...  203. -173.  198.],"[-1542.1772  -1208.3889  -1033.8866  ...  -168.26929    40.41223
  -171.66492]",[-1469. -1225. -1027. ...  -173.    28.  -173.]
9,10,5.3754673,5.9028077,[-461.79456 -189.84021 -359.25916 ...  212.59094 -164.396    197.68652],[-472. -188. -356. ...  203. -173.  198.],"[-1557.2517  -1209.0344   -985.66046 ...   223.32825  -165.30103
   215.06726]",[-1469. -1225. -1002. ...   203.  -173.   198.]
